lab_result_id,sample_type,ref_no,lab_no,bd_variant,received_date_raw,corrected_date_received,reported_date,period,project_num,state,trs,trs_confidence,lat,lon,region,latlon_source,customer_raw,farm_business_raw,mukey,texture_class,smf_cluster,bulk_density_g_cm3,core_diam_in,core_length_in,depth_range,toc_pct,tc_pct,cce_pct,inorganic_c_pct,om_pct,om_loi_pct,outlier_spatial_tier,outlier_toc_tier,outlier_bd_flag,match_completeness,op_code,customer_norm,point_id,sample_role
NW2384,BD,21890583,NW2384,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,ND,T136N-R73W-S33,exact,46.554594,-99.855767,ND_W,master_a,Alliance Farms (Jangula),Alliance Farms,3462809.0,Loamy Sand,Sandy,1.63,NO SOIL RECEIVED,,,,,,,,,ok,,ok,partial,25-18,alliance farms,6a6b6afb8a27,monitoring
NW2385,BD,21890584,NW2385,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,ND,T136N-R73W-S33,exact,46.554594,-99.855767,ND_W,master_a,Alliance Farms (Jangula),Alliance Farms,3462809.0,Loamy Sand,Sandy,1.63,NO SOIL RECEIVED,,,,,,,,,ok,,ok,partial,25-18,alliance farms,6a6b6afb8a27,monitoring
NW2386,BD,21890585,NW2386,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,ND,T136N-R73W-S33,exact,46.554594,-99.855767,ND_W,master_a,Alliance Farms (Jangula),Alliance Farms,3462809.0,Loamy Sand,Sandy,1.63,NO SOIL RECEIVED,,,,,,,,,ok,,ok,partial,25-18,alliance farms,6a6b6afb8a27,monitoring
NW2387,BD,21890586,NW2387,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,ND,T136N-R73W-S33,exact,46.554594,-99.855767,ND_W,master_a,Alliance Farms (Jangula),Alliance Farms,3462809.0,Loamy Sand,Sandy,1.63,NO SOIL RECEIVED,,,,,,,,,ok,,ok,partial,25-18,alliance farms,6a6b6afb8a27,monitoring
NW2388,BD,21890587,NW2388,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,ND,T136N-R72W-S19,exact,46.578003,-99.780311,ND_W,master_other,Alliance Farms (Jangula),Alliance Farms,2567084.0,Loam,Medium,1.395,5.1,30.0,,2.66,2.68,0.2,0.02,,5.5,ok,,ok,full,25-18,alliance farms,189757c8326b,monitoring
NW2389,BD,21890588,NW2389,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,ND,T136N-R72W-S19,exact,46.578003,-99.780311,ND_W,master_other,Alliance Farms (Jangula),Alliance Farms,2567084.0,Loam,Medium,1.395,5.1,30.0,,2.64,2.68,0.3,0.04,,4.6,ok,,ok,full,25-18,alliance farms,189757c8326b,monitoring
NW2390,BD,21890589,NW2390,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,ND,T136N-R73W-S33,exact,46.554594,-99.855767,ND_W,master_a,Alliance Farms (Jangula),Alliance Farms,3462809.0,Loamy Sand,Sandy,1.63,5.1,30.0,,2.12,2.19,0.6,0.07,,4.2,ok,,ok,full,25-18,alliance farms,6a6b6afb8a27,monitoring
NW2391,BD,21890590,NW2391,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,ND,T136N-R73W-S33,exact,46.554594,-99.855767,ND_W,master_a,Alliance Farms (Jangula),Alliance Farms,3462809.0,Loamy Sand,Sandy,1.63,5.1,30.0,,2.16,2.16,0.0,0.0,,4.5,ok,,ok,full,25-18,alliance farms,6a6b6afb8a27,monitoring
NW2392,BD,21890591,NW2392,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,ND,T136N-R73W-S35,exact,46.558283,-99.823158,ND_W,master_other,Alliance Farms (Jangula),Alliance Farms,2564242.0,Loam,Medium,1.43,5.1,30.0,,2.24,2.58,2.8,0.34,,4.3,ok,,ok,full,25-18,alliance farms,ea4637ad541e,monitoring
NW2393,BD,21890592,NW2393,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,ND,T136N-R73W-S35,exact,46.558283,-99.823158,ND_W,master_other,Alliance Farms (Jangula),Alliance Farms,2564242.0,Loam,Medium,1.43,5.1,30.0,,2.36,2.73,3.1,0.37,,4.5,ok,,ok,full,25-18,alliance farms,ea4637ad541e,monitoring
