lab_result_id,sample_type,ref_no,lab_no,bd_variant,received_date_raw,corrected_date_received,reported_date,period,project_num,state,trs,trs_confidence,lat,lon,region,latlon_source,customer_raw,farm_business_raw,mukey,texture_class,smf_cluster,bulk_density_g_cm3,core_diam_in,core_length_in,depth_range,toc_pct,tc_pct,cce_pct,inorganic_c_pct,om_pct,om_loi_pct,outlier_spatial_tier,outlier_toc_tier,outlier_bd_flag,match_completeness,op_code,customer_norm,point_id,sample_role
NW2908,BD,21890381,NW2908,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,1.97,2.03,0.5,0.06,,3.0,ok,,ok,full,25-16,acres away ag,a657535eee30,monitoring
NW2909,BD,21890382,NW2909,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,1.92,1.96,0.3,0.04,,2.8,ok,,ok,full,25-16,acres away ag,a657535eee30,monitoring
NW2910,BD,21890383,NW2910,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S22,exact,48.580047,-99.154625,ND_W,master_a,Acres Away AG LLC,,3247748.0,Loam,Medium,1.39,5.1,30.0,,1.42,1.52,0.8,0.1,,2.1,ok,,ok,full,25-16,acres away ag,bfc10dfbc1c4,monitoring
NW2911,BD,21890384,NW2911,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S22,exact,48.580047,-99.154625,ND_W,master_a,Acres Away AG LLC,,3247748.0,Loam,Medium,1.39,5.1,30.0,,1.63,1.7,0.6,0.07,,2.5,ok,,ok,full,25-16,acres away ag,bfc10dfbc1c4,monitoring
NW2912,BD,21890385,NW2912,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S22,exact,48.580047,-99.154625,ND_W,master_a,Acres Away AG LLC,,3247748.0,Loam,Medium,1.39,5.1,30.0,,1.7,1.76,0.5,0.06,,2.4,ok,,ok,full,25-16,acres away ag,bfc10dfbc1c4,monitoring
NW2913,BD,21890386,NW2913,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S22,exact,48.580047,-99.154625,ND_W,master_a,Acres Away AG LLC,,3247748.0,Loam,Medium,1.39,5.1,30.0,,1.57,1.63,0.5,0.06,,2.3,ok,,ok,full,25-16,acres away ag,bfc10dfbc1c4,monitoring
NW2914,BD,21890387,NW2914,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,1.45,1.49,0.3,0.04,,2.2,ok,,ok,full,25-16,acres away ag,a657535eee30,monitoring
NW2915,BD,21890388,NW2915,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,1.76,1.89,1.1,0.13,,2.6,ok,,ok,full,25-16,acres away ag,a657535eee30,monitoring
NW2916,BD,21890389,NW2916,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,1.75,1.82,0.6,0.07,,3.2,ok,,ok,full,25-16,acres away ag,a657535eee30,monitoring
NW2917,BD,21890390,NW2917,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,1.85,1.91,0.5,0.06,,3.2,ok,,ok,full,25-16,acres away ag,a657535eee30,monitoring
NW2918,BD,21890391,NW2918,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S22,exact,48.580047,-99.154625,ND_W,master_a,Acres Away AG LLC,,3247748.0,Loam,Medium,1.39,5.1,30.0,,2.04,2.06,0.2,0.02,,3.3,ok,,ok,full,25-16,acres away ag,bfc10dfbc1c4,monitoring
NW2919,BD,21890392,NW2919,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S22,exact,48.580047,-99.154625,ND_W,master_a,Acres Away AG LLC,,3247748.0,Loam,Medium,1.39,5.1,30.0,,1.96,2.08,1.0,0.12,,3.4,ok,,ok,full,25-16,acres away ag,bfc10dfbc1c4,monitoring
NW2920,BD,21890393,NW2920,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S22,exact,48.580047,-99.154625,ND_W,master_a,Acres Away AG LLC,,3247748.0,Loam,Medium,1.39,5.1,30.0,,1.66,1.72,0.5,0.06,,2.9,ok,,ok,full,25-16,acres away ag,bfc10dfbc1c4,monitoring
NW2921,BD,21890394,NW2921,A,2025-10-27,2025-10-27,2026-03-13,F25,4.0,ND,T159N-R66W-S22,exact,48.580047,-99.154625,ND_W,master_a,Acres Away AG LLC,,3247748.0,Loam,Medium,1.39,5.1,30.0,,2.07,2.17,0.8,0.1,,3.4,ok,,ok,full,25-16,acres away ag,bfc10dfbc1c4,monitoring
NW2578,BD,21890379,NW2578,A,2025-10-24,2025-10-24,2026-03-05,F25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,2.01,2.05,0.3,0.04,,2.9,ok,,ok,full,25-16,acres away ag,a657535eee30,monitoring
NW2579,BD,21890380,NW2579,A,2025-10-24,2025-10-24,2026-03-05,F25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,1.99,2.03,0.3,0.04,,3.3,ok,,ok,full,25-16,acres away ag,a657535eee30,monitoring
NW2294,BD,21887931,NW2294,A,2025-10-08,2025-10-08,2026-02-24,F25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,5.1,30.0,,3.55,3.59,0.3,0.04,,7.6,ok,,ok,full,25-16,acres away ag,9e515cbeea24,monitoring
NW2295,BD,21887932,NW2295,A,2025-10-08,2025-10-08,2026-02-24,F25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,5.1,30.0,,3.35,3.37,0.2,0.02,,6.6,ok,,ok,full,25-16,acres away ag,9e515cbeea24,monitoring
NW2296,BD,21887933,NW2296,A,2025-10-08,2025-10-08,2026-02-24,F25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,5.1,30.0,,3.13,3.17,0.3,0.04,,6.2,ok,,ok,full,25-16,acres away ag,9e515cbeea24,monitoring
NW2297,BD,21887934,NW2297,A,2025-10-08,2025-10-08,2026-02-24,F25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,5.1,30.0,,3.13,3.15,0.2,0.02,,6.4,ok,,ok,full,25-16,acres away ag,9e515cbeea24,monitoring
NW2298,BD,21887935,NW2298,A,2025-10-08,2025-10-08,2026-02-24,F25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,5.1,30.0,,2.56,3.98,11.8,1.42,,4.1,moderate,,ok,full,25-16,acres away ag,a5424798e5d4,monitoring
NW2299,BD,21887936,NW2299,A,2025-10-08,2025-10-08,2026-02-24,F25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,5.1,30.0,,2.45,4.06,13.4,1.61,,3.6,moderate,,ok,full,25-16,acres away ag,a5424798e5d4,monitoring
NW2300,BD,21887937,NW2300,A,2025-10-08,2025-10-08,2026-02-24,F25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,5.1,30.0,,2.75,4.14,11.6,1.39,,4.2,moderate,,ok,full,25-16,acres away ag,a5424798e5d4,monitoring
NW2301,BD,21887938,NW2301,A,2025-10-08,2025-10-08,2026-02-24,F25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,5.1,30.0,,2.74,4.11,11.4,1.37,,4.0,moderate,,ok,full,25-16,acres away ag,a5424798e5d4,monitoring
4508,DC,21888181,4508,,2025-10-08,2025-10-08,2026-03-02,F25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,,,0-12,4.1,4.2,0.4,,6.4,,ok,ok,ok,full,25-16,acres away ag,9e515cbeea24,monitoring
4509,DC,21888182,4509,,2025-10-08,2025-10-08,2026-03-02,F25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,,,0-12,4.1,4.1,0.4,,5.8,,ok,ok,ok,full,25-16,acres away ag,9e515cbeea24,monitoring
4510,DC,21888183,4510,,2025-10-08,2025-10-08,2026-03-02,F25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,,,0-12,3.9,3.9,0.6,,5.5,,ok,ok,ok,full,25-16,acres away ag,9e515cbeea24,monitoring
4511,DC,21888184,4511,,2025-10-08,2025-10-08,2026-03-02,F25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,,,0-12,4.0,4.1,0.4,,5.9,,ok,ok,ok,full,25-16,acres away ag,9e515cbeea24,monitoring
4512,DC,21888185,4512,,2025-10-08,2025-10-08,2026-03-02,F25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,,,0-12,4.0,4.1,0.6,,5.8,,ok,ok,ok,full,25-16,acres away ag,9e515cbeea24,monitoring
4513,DC,21888186,4513,,2025-10-08,2025-10-08,2026-03-02,F25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,,,0-12,4.4,4.5,0.2,,6.3,,ok,ok,ok,full,25-16,acres away ag,9e515cbeea24,monitoring
4514,DC,21888188,4514,,2025-10-08,2025-10-08,2026-03-02,F25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,,,0-12,2.8,3.9,9.8,,3.4,,moderate,ok,ok,full,25-16,acres away ag,a5424798e5d4,monitoring
4515,DC,21888189,4515,,2025-10-08,2025-10-08,2026-03-02,F25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,,,0-12,2.9,4.0,8.9,,3.5,,moderate,ok,ok,full,25-16,acres away ag,a5424798e5d4,monitoring
4516,DC,21888190,4516,,2025-10-08,2025-10-08,2026-03-02,F25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,,,0-12,2.4,3.8,11.9,,3,,moderate,ok,ok,full,25-16,acres away ag,a5424798e5d4,monitoring
4517,DC,21888191,4517,,2025-10-08,2025-10-08,2026-03-02,F25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,,,0-12,2.6,4.0,11.2,,3.3,,moderate,ok,ok,full,25-16,acres away ag,a5424798e5d4,monitoring
4518,DC,21888192,4518,,2025-10-08,2025-10-08,2026-03-02,F25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,,,0-12,2.8,4.0,9.5,,3.9,,moderate,ok,ok,full,25-16,acres away ag,a5424798e5d4,monitoring
4519,DC,21888193,4519,,2025-10-08,2025-10-08,2026-03-02,F25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,,,0-12,2.9,4.0,9.1,,3.7,,moderate,ok,ok,full,25-16,acres away ag,a5424798e5d4,monitoring
NW43053,BD,21973461,NW43053,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,5.1,30.0,,2.22,2.28,0.5,0.06,,4.4,ok,,ok,full,25-16,acres away ag,f4adfa44ed99,baseline
NW43054,BD,21973462,NW43054,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,5.1,30.0,,2.61,2.65,0.3,0.04,,4.6,ok,,ok,full,25-16,acres away ag,f4adfa44ed99,baseline
NW43055,BD,21973463,NW43055,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,5.1,30.0,,2.15,2.17,0.2,0.02,,4.2,ok,,ok,full,25-16,acres away ag,f4adfa44ed99,baseline
NW43056,BD,21973464,NW43056,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,5.1,30.0,,2.23,2.3,0.6,0.07,,4.5,ok,,ok,full,25-16,acres away ag,f4adfa44ed99,baseline
NW43057,BD,21973465,NW43057,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,5.1,30.0,,2.1,2.27,1.4,0.17,,4.2,ok,,ok,full,25-16,acres away ag,f4adfa44ed99,baseline
NW43058,BD,21973466,NW43058,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,5.1,30.0,,2.37,2.49,1.0,0.12,,4.5,ok,,ok,full,25-16,acres away ag,f4adfa44ed99,baseline
NW43059,BD,21973467,NW43059,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,5.1,30.0,,2.38,2.49,0.9,0.11,,4.4,ok,,ok,full,25-16,acres away ag,f4adfa44ed99,baseline
NW43060,BD,21973468,NW43060,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T160N-R67W-S35,exact,48.632033,-99.257481,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247752.0,Loam,Medium,1.393,5.1,30.0,,2.6,2.67,0.6,0.07,,4.3,ok,,ok,full,25-16,acres away ag,f4adfa44ed99,baseline
NW43061,BD,21973469,NW43061,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,5.1,30.0,,1.61,3.16,12.9,1.55,,2.4,moderate,,ok,full,25-16,acres away ag,4583cd26d2f0,baseline
NW43062,BD,21973470,NW43062,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,5.1,30.0,,1.74,3.04,10.8,1.3,,2.5,moderate,,ok,full,25-16,acres away ag,4583cd26d2f0,baseline
NW43063,BD,21973471,NW43063,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,5.1,30.0,,2.02,3.35,11.1,1.33,,2.7,moderate,,ok,full,25-16,acres away ag,4583cd26d2f0,baseline
NW43064,BD,21973472,NW43064,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T160N-R67W-S19,exact,48.670231,-99.344664,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247758.0,Loam,Medium,1.34,5.1,30.0,,1.75,2.96,10.1,1.21,,2.8,moderate,,ok,full,25-16,acres away ag,4583cd26d2f0,baseline
NW43065,BD,21973473,NW43065,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T159N-R66W-S22,exact,48.580047,-99.154625,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247748.0,Loam,Medium,1.39,5.1,30.0,,1.17,1.43,2.2,0.26,,1.9,ok,,ok,full,25-16,acres away ag,b3ca0946e000,baseline
NW43066,BD,21973474,NW43066,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T159N-R66W-S22,exact,48.580047,-99.154625,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247748.0,Loam,Medium,1.39,5.1,30.0,,1.1,1.48,3.2,0.38,,1.7,ok,,ok,full,25-16,acres away ag,b3ca0946e000,baseline
NW43067,BD,21973475,NW43067,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T159N-R66W-S22,exact,48.580047,-99.154625,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247748.0,Loam,Medium,1.39,5.1,30.0,,1.21,1.46,2.1,0.25,,1.8,ok,,ok,full,25-16,acres away ag,b3ca0946e000,baseline
NW43068,BD,21973476,NW43068,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T159N-R66W-S22,exact,48.580047,-99.154625,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,3247748.0,Loam,Medium,1.39,5.1,30.0,,1.08,1.36,2.3,0.28,,1.8,ok,,ok,full,25-16,acres away ag,b3ca0946e000,baseline
NW43069,BD,21973477,NW43069,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,0.78,2.51,14.4,1.73,,1.5,ok,,ok,full,25-16,acres away ag,a2c2152b0370,baseline
NW43070,BD,21973478,NW43070,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,0.96,2.6,13.7,1.64,,1.4,ok,,ok,full,25-16,acres away ag,a2c2152b0370,baseline
NW43071,BD,21973479,NW43071,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,0.85,2.67,15.2,1.82,,1.3,ok,,ok,full,25-16,acres away ag,a2c2152b0370,baseline
NW43072,BD,21973480,NW43072,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,0.97,2.43,12.2,1.46,,1.4,ok,,ok,full,25-16,acres away ag,a2c2152b0370,baseline
NW43073,BD,21973481,NW43073,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,0.96,1.87,7.6,0.91,,1.2,ok,,ok,full,25-16,acres away ag,a2c2152b0370,baseline
NW43074,BD,21973482,NW43074,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,1.0,1.96,8.0,0.96,,1.3,ok,,ok,full,25-16,acres away ag,a2c2152b0370,baseline
NW43075,BD,21973483,NW43075,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,0.99,1.84,7.1,0.85,,1.4,ok,,ok,full,25-16,acres away ag,a2c2152b0370,baseline
NW43076,BD,21973484,NW43076,A,2025-06-30,2025-06-30,2025-08-27,S25,4.0,ND,T159N-R66W-S27,exact,48.569836,-99.145575,ND_W,master_a,Acres Away AG LLC,Acres Away AG LLC,2585328.0,Sandy Loam,Sandy,1.46,5.1,30.0,,1.04,2.05,8.4,1.01,,1.5,ok,,ok,full,25-16,acres away ag,a2c2152b0370,baseline
