lab_result_id,sample_type,ref_no,lab_no,bd_variant,received_date_raw,corrected_date_received,reported_date,period,project_num,state,trs,trs_confidence,lat,lon,region,latlon_source,customer_raw,farm_business_raw,mukey,texture_class,smf_cluster,bulk_density_g_cm3,core_diam_in,core_length_in,depth_range,toc_pct,tc_pct,cce_pct,inorganic_c_pct,om_pct,om_loi_pct,outlier_spatial_tier,outlier_toc_tier,outlier_bd_flag,match_completeness,op_code,customer_norm,point_id,sample_role
NW3282,BD,21822621,NW3282,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R54W-S13,exact,48.163817,-97.534517,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2643076.0,Silt Loam,Medium,1.19,5.1,30.0,,2.05,2.4,2.9,0.35,,3.2,moderate,,ok,full,24-04,hoverson brothers,e4d0b7b6141a,monitoring
NW3283,BD,21822622,NW3283,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R54W-S13,exact,48.163817,-97.534517,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2643076.0,Silt Loam,Medium,1.19,5.1,30.0,,1.98,2.27,2.4,0.29,,3.1,moderate,,ok,full,24-04,hoverson brothers,e4d0b7b6141a,monitoring
NW3284,BD,21822623,NW3284,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R54W-S13,exact,48.163817,-97.534517,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2643076.0,Silt Loam,Medium,1.19,5.1,30.0,,2.5,2.52,0.2,0.02,,4.1,moderate,,ok,full,24-04,hoverson brothers,e4d0b7b6141a,monitoring
NW3285,BD,21822624,NW3285,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R54W-S13,exact,48.163817,-97.534517,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2643076.0,Silt Loam,Medium,1.19,5.1,30.0,,2.41,2.47,0.5,0.06,,3.9,moderate,,ok,full,24-04,hoverson brothers,e4d0b7b6141a,monitoring
NW3286,BD,21822625,NW3286,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R54W-S13,exact,48.163817,-97.534517,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2643076.0,Silt Loam,Medium,1.19,5.1,30.0,,2.2,2.28,0.7,0.08,,3.6,moderate,,ok,full,24-04,hoverson brothers,e4d0b7b6141a,monitoring
NW3287,BD,21822626,NW3287,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R54W-S13,exact,48.163817,-97.534517,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2643076.0,Silt Loam,Medium,1.19,5.1,30.0,,2.15,2.22,0.6,0.07,,3.5,moderate,,ok,full,24-04,hoverson brothers,e4d0b7b6141a,monitoring
NW3288,BD,21822627,NW3288,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S20,exact,48.150017,-97.749603,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642617.0,Loam,Medium,1.34,5.1,30.0,,1.69,1.7,0.1,0.01,,3.1,moderate,,ok,full,24-04,hoverson brothers,1884569eb905,monitoring
NW3289,BD,21822628,NW3289,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S20,exact,48.150017,-97.749603,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642617.0,Loam,Medium,1.34,5.1,30.0,,1.39,1.46,0.6,0.07,,3.0,moderate,,ok,full,24-04,hoverson brothers,1884569eb905,monitoring
NW3290,BD,21822629,NW3290,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S20,exact,48.150017,-97.749603,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642617.0,Loam,Medium,1.34,5.1,30.0,,1.31,1.32,0.1,0.01,,2.6,moderate,,ok,full,24-04,hoverson brothers,1884569eb905,monitoring
NW3291,BD,21822630,NW3291,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S20,exact,48.150017,-97.749603,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642617.0,Loam,Medium,1.34,5.1,30.0,,1.34,1.4,0.5,0.06,,2.7,moderate,,ok,full,24-04,hoverson brothers,1884569eb905,monitoring
NW3292,BD,21822631,NW3292,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,2.39,2.44,0.4,0.05,,4.1,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3293,BD,21822632,NW3293,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,2.31,2.37,0.5,0.06,,3.9,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3294,BD,21822633,NW3294,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.91,1.96,0.4,0.05,,3.8,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3295,BD,21822634,NW3295,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,2.04,2.1,0.5,0.06,,3.7,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3296,BD,21822635,NW3296,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S20,exact,48.150017,-97.749603,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642617.0,Loam,Medium,1.34,5.1,30.0,,1.38,1.44,0.5,0.06,,2.7,moderate,,ok,full,24-04,hoverson brothers,1884569eb905,monitoring
NW3297,BD,21822636,NW3297,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S20,exact,48.150017,-97.749603,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642617.0,Loam,Medium,1.34,5.1,30.0,,1.52,1.56,0.3,0.04,,3.1,moderate,,ok,full,24-04,hoverson brothers,1884569eb905,monitoring
NW3298,BD,21822637,NW3298,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S20,exact,48.150017,-97.749603,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642617.0,Loam,Medium,1.34,5.1,30.0,,1.92,2.03,0.9,0.11,,3.6,moderate,,ok,full,24-04,hoverson brothers,1884569eb905,monitoring
NW3299,BD,21822638,NW3299,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S20,exact,48.150017,-97.749603,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642617.0,Loam,Medium,1.34,5.1,30.0,,1.81,1.89,0.7,0.08,,3.6,moderate,,ok,full,24-04,hoverson brothers,1884569eb905,monitoring
NW3300,BD,21822639,NW3300,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,0.93,0.98,0.4,0.05,,2.0,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3301,BD,21822640,NW3301,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.31,1.37,0.5,0.06,,2.0,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3302,BD,21822641,NW3302,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.06,1.12,0.5,0.06,,2.5,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3303,BD,21822642,NW3303,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.04,1.09,0.4,0.05,,2.3,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3304,BD,21822643,NW3304,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.51,1.56,0.4,0.05,,2.5,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3305,BD,21822644,NW3305,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.23,1.27,0.3,0.04,,2.9,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3306,BD,21822645,NW3306,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.52,1.53,0.1,0.01,,2.4,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3307,BD,21822646,NW3307,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.49,1.49,0.0,0.0,,2.8,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3308,BD,21822647,NW3308,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.85,1.93,0.7,0.08,,3.8,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3309,BD,21822648,NW3309,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,2.1,2.12,0.2,0.02,,3.9,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3310,BD,21822649,NW3310,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.99,2.01,0.2,0.02,,3.0,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3311,BD,21822650,NW3311,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.85,1.86,0.1,0.01,,3.0,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3312,BD,21822651,NW3312,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.06,1.7,5.3,0.64,,2.3,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3313,BD,21822652,NW3313,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.1,1.64,4.5,0.54,,2.2,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3314,BD,21822653,NW3314,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.29,1.55,2.2,0.26,,2.3,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3315,BD,21822654,NW3315,A,2026-11-03,2025-11-03,2026-04-02,F25,4.0,ND,T154N-R55W-S23,exact,48.150319,-97.682933,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642846.0,Sandy Loam,Sandy,1.4,5.1,30.0,,1.29,1.67,3.2,0.38,,2.5,moderate,,ok,full,24-04,hoverson brothers,9db06ee7f397,monitoring
NW3242,BD,21822581,NW3242,A,2026-11-01,2025-11-01,2026-04-02,F25,3.0,ND,T153N-R55W-S3,exact,48.102722,-97.688778,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642840.0,Sandy Loam,Sandy,1.32,5.1,30.0,,0.64,0.9,2.2,0.26,,0.7,moderate,,ok,full,24-04,hoverson brothers,bf9b3c799419,monitoring
NW3243,BD,21822582,NW3243,A,2026-11-01,2025-11-01,2026-04-02,F25,3.0,ND,T153N-R55W-S3,exact,48.102722,-97.688778,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642840.0,Sandy Loam,Sandy,1.32,5.1,30.0,,0.57,0.76,1.6,0.19,,0.7,moderate,,ok,full,24-04,hoverson brothers,bf9b3c799419,monitoring
NW3244,BD,21822583,NW3244,A,2026-11-01,2025-11-01,2026-04-02,F25,3.0,ND,T153N-R55W-S3,exact,48.102722,-97.688778,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642840.0,Sandy Loam,Sandy,1.32,5.1,30.0,,0.42,0.78,3.0,0.36,,0.6,moderate,,ok,full,24-04,hoverson brothers,bf9b3c799419,monitoring
NW3245,BD,21822584,NW3245,A,2026-11-01,2025-11-01,2026-04-02,F25,3.0,ND,T153N-R55W-S3,exact,48.102722,-97.688778,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642840.0,Sandy Loam,Sandy,1.32,5.1,30.0,,0.39,0.87,4.0,0.48,,0.5,moderate,,ok,full,24-04,hoverson brothers,bf9b3c799419,monitoring
NW3246,BD,21822585,NW3246,A,2026-11-01,2025-11-01,2026-04-02,F25,3.0,ND,T153N-R55W-S3,exact,48.102722,-97.688778,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642840.0,Sandy Loam,Sandy,1.32,5.1,30.0,,0.85,0.92,0.6,0.07,,1.1,moderate,,ok,full,24-04,hoverson brothers,bf9b3c799419,monitoring
NW3247,BD,21822586,NW3247,A,2026-11-01,2025-11-01,2026-04-02,F25,3.0,ND,T153N-R55W-S3,exact,48.102722,-97.688778,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642840.0,Sandy Loam,Sandy,1.32,5.1,30.0,,0.71,0.78,0.6,0.07,,1.1,moderate,,ok,full,24-04,hoverson brothers,bf9b3c799419,monitoring
NW3248,BD,21822587,NW3248,A,2026-11-01,2025-11-01,2026-04-02,F25,4.0,ND,T153N-R55W-S21,exact,48.058322,-97.710311,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642585.0,Sandy Loam,Sandy,1.3,5.1,30.0,,2.5,2.6,0.8,0.1,,4.0,moderate,,ok,full,24-04,hoverson brothers,fba685a7eb2f,monitoring
NW3249,BD,21822588,NW3249,A,2026-11-01,2025-11-01,2026-04-02,F25,4.0,ND,T153N-R55W-S21,exact,48.058322,-97.710311,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642585.0,Sandy Loam,Sandy,1.3,5.1,30.0,,2.42,2.48,0.5,0.06,,4.0,moderate,,ok,full,24-04,hoverson brothers,fba685a7eb2f,monitoring
NW3250,BD,21822589,NW3250,A,2026-11-01,2025-11-01,2026-04-02,F25,4.0,ND,T153N-R55W-S21,exact,48.058322,-97.710311,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642585.0,Sandy Loam,Sandy,1.3,5.1,30.0,,2.05,2.24,1.6,0.19,,3.6,moderate,,ok,full,24-04,hoverson brothers,fba685a7eb2f,monitoring
NW3251,BD,21822590,NW3251,A,2026-11-01,2025-11-01,2026-04-02,F25,4.0,ND,T153N-R55W-S21,exact,48.058322,-97.710311,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642585.0,Sandy Loam,Sandy,1.3,5.1,30.0,,2.01,2.19,1.5,0.18,,3.6,moderate,,ok,full,24-04,hoverson brothers,fba685a7eb2f,monitoring
NW3252,BD,21822591,NW3252,A,2026-11-01,2025-11-01,2026-04-02,F25,4.0,ND,T153N-R55W-S21,exact,48.058322,-97.710311,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642585.0,Sandy Loam,Sandy,1.3,5.1,30.0,,1.7,1.71,0.1,0.01,,3.3,moderate,,ok,full,24-04,hoverson brothers,fba685a7eb2f,monitoring
NW3253,BD,21822592,NW3253,A,2026-11-01,2025-11-01,2026-04-02,F25,4.0,ND,T153N-R55W-S21,exact,48.058322,-97.710311,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642585.0,Sandy Loam,Sandy,1.3,5.1,30.0,,1.71,1.78,0.6,0.07,,3.0,moderate,,ok,full,24-04,hoverson brothers,fba685a7eb2f,monitoring
NW3254,BD,21822593,NW3254,A,2026-11-01,2025-11-01,2026-04-02,F25,4.0,ND,T153N-R55W-S21,exact,48.058322,-97.710311,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642585.0,Sandy Loam,Sandy,1.3,5.1,30.0,,2.09,2.2,0.9,0.11,,4.0,moderate,,ok,full,24-04,hoverson brothers,fba685a7eb2f,monitoring
NW3255,BD,21822594,NW3255,A,2026-11-01,2025-11-01,2026-04-02,F25,4.0,ND,T153N-R55W-S21,exact,48.058322,-97.710311,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642585.0,Sandy Loam,Sandy,1.3,5.1,30.0,,2.32,2.38,0.5,0.06,,3.9,moderate,,ok,full,24-04,hoverson brothers,fba685a7eb2f,monitoring
NW3256,BD,21822595,NW3256,A,2026-11-01,2025-11-01,2026-04-02,F25,4.0,ND,T153N-R55W-S21,exact,48.058322,-97.710311,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642585.0,Sandy Loam,Sandy,1.3,5.1,30.0,,1.54,1.54,0.0,0.0,,3.1,moderate,,ok,full,24-04,hoverson brothers,fba685a7eb2f,monitoring
NW3257,BD,21822596,NW3257,A,2026-11-01,2025-11-01,2026-04-02,F25,4.0,ND,T153N-R55W-S21,exact,48.058322,-97.710311,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642585.0,Sandy Loam,Sandy,1.3,5.1,30.0,,1.55,1.57,0.2,0.02,,3.1,moderate,,ok,full,24-04,hoverson brothers,fba685a7eb2f,monitoring
NW3258,BD,21822597,NW3258,A,2026-11-01,2025-11-01,2026-04-02,F25,4.0,ND,T153N-R55W-S21,exact,48.058322,-97.710311,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642585.0,Sandy Loam,Sandy,1.3,5.1,30.0,,1.91,1.93,0.2,0.02,,3.6,moderate,,ok,full,24-04,hoverson brothers,fba685a7eb2f,monitoring
NW3259,BD,21822598,NW3259,A,2026-11-01,2025-11-01,2026-04-02,F25,4.0,ND,T153N-R55W-S21,exact,48.058322,-97.710311,ND_E,master_a,Hoverson Brothers,Hoverson Brothers,2642585.0,Sandy Loam,Sandy,1.3,5.1,30.0,,1.5,1.56,0.5,0.06,,3.3,moderate,,ok,full,24-04,hoverson brothers,fba685a7eb2f,monitoring
